,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
RP11-20I23.13,-0.10682906935748027,9.953204794611706e-05,0.0010448115530255382,-0.15986281417153847,-0.05318040898659356
KRT8,-0.10794195233927438,8.403617955627269e-05,0.0008870485619828784,-0.1609597097094078,-0.05430302336771128
ZNF726,-0.10802889872947191,8.292670276366894e-05,0.0008802275712344748,-0.16104540153032534,-0.0543907357556886
TWISTNB,-0.10886305479768912,7.29624509644921e-05,0.000784823937818977,-0.16186748075118518,-0.055232282808086376
CDK11B,-0.10888424731494262,7.272467386006649e-05,0.000784823937818977,-0.16188836548654936,-0.055253664092766996
KIAA1467,-0.10907153083281573,7.065495635446176e-05,0.000771519638353318,-0.1620729269958311,-0.055442617933073236
PMAIP1,-0.10977475580043278,6.336950461265508e-05,0.0007000119695583991,-0.16276589807823613,-0.056152149034352776
KIF22,-0.11065448466602695,5.525302690752745e-05,0.0006139225211947495,-0.1636327258132504,-0.05703984308872653
EIF4E,-0.11069185320560243,5.49310379261819e-05,0.0006139225211947495,-0.16366954453601046,-0.05707755184533926
AP4E1,-0.11092341989345077,5.297496474475992e-05,0.0005955765267162357,-0.1638977008085666,-0.05731123021330274
RGS1,-0.11145468945860237,4.8733378141315375e-05,0.0005544516075958037,-0.16442112464674583,-0.05784736667891928
SPAG5,-0.11257582750905935,4.081385011663526e-05,0.00046910727160308157,-0.16552560797579258,-0.058978876836674576
C12orf57,-0.11263562215235663,4.0427744747183815e-05,0.00046837021353444665,-0.16558451062746912,-0.05903922853342854
KIAA0825,-0.11374842802926902,3.3843748305856266e-05,0.0003993982719324653,-0.166680647197565,-0.0601624729315598
WASF1,-0.1140753936918061,3.211140925230624e-05,0.00038132298487113665,-0.16700269020260186,-0.06049253144691377
GLA,-0.11425990346170965,3.117131274951423e-05,0.0003724873850570883,-0.16718441708652979,-0.060678791714400514
GEM,-0.11450810416240191,2.994783092833777e-05,0.0003601321440749478,-0.1674288686044954,-0.06092935305304635
XIST,-0.1158484235354596,2.4090336350125325e-05,0.00029721843548855925,-0.16874882941401992,-0.06228253690889094
SMIM4,-0.11587644083646968,2.3980372478779053e-05,0.00029721843548855925,-0.16877641912637478,-0.06231082522347084
SYNPO2L,-0.11634494725023217,2.2210732381122927e-05,0.00027763415476403657,-0.1692377631031155,-0.06278387628961467
MIR155HG,-0.11725938039041106,1.91079826531171e-05,0.00024365883920082206,-0.17013814979670813,-0.06370724903740053
FBP1,-0.11766852825180019,1.7857425743257037e-05,0.00023081026470876445,-0.17054098422119965,-0.06412042647023138
SERPINH1,-0.1183173657741098,1.6032549352412893e-05,0.00021154058173322566,-0.17117977349268107,-0.06477569183692855
NMB,-0.11925742189753007,1.3700598598558773e-05,0.0001820359254353963,-0.17210519256079893,-0.06572514273821467
SNX29P2,-0.11931755468081956,1.3562990194684698e-05,0.0001814766293654995,-0.1721643858781246,-0.06578587977814743
IGFBP7,-0.11958029612503086,1.2977023424963552e-05,0.00017486769154206205,-0.1724230179857902,-0.06605126608697856
FOXM1,-0.12159073923575742,9.227392182330656e-06,0.00012704380540890032,-0.17440177616194025,-0.06808219786196706
TRIM28,-0.12181339932437056,8.88243371728696e-06,0.00012327569119875015,-0.1746209008561291,-0.06830715438642436
ADRB2,-0.12189315891738016,8.761885770504809e-06,0.00012327569119875015,-0.17469939275478955,-0.06838773791468197
RNASE2,-0.12444293924991043,5.635382800193553e-06,8.173455969746374e-05,-0.17720829339458766,-0.07096422603801146
CA13,-0.1245893272932347,5.492921319074181e-06,8.028115774031495e-05,-0.17735231363804904,-0.07111216909368932
IL1B,-0.12717911199647736,3.4753163827516985e-06,5.188677582137482e-05,-0.1798998354626231,-0.07372985294269008
PMP22,-0.12749268287941998,3.285902683143673e-06,4.9549326174388717e-05,-0.1802082411707804,-0.07404685184582202
S100B,-0.12822354359416757,2.8820375115036224e-06,4.3806970174855065e-05,-0.18092702283669057,-0.07478574440357774
PDLIM3,-0.12957091682782473,2.258780884774398e-06,3.576403067559464e-05,-0.18225198026864434,-0.07614807850474038
PNP,-0.13205266061463838,1.4326553691729023e-06,2.3265343601953115e-05,-0.18469193547400328,-0.07865790104604106
PPP6R1,-0.13266203611253194,1.2794739259863556e-06,2.113913442933979e-05,-0.18529095085538194,-0.07927427461698996
