,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
MMP17,0.030211946677170597,0.11831611016264788,0.3120265894370918,-0.007702442680928386,0.0680395961755172
CIC,0.030178536514033995,0.11872387840397931,0.31225345255030335,-0.007735881341090828,0.06800631025676354
CLTCL1,0.030030411739772184,0.12054500397424578,0.31649824761395656,-0.007884131436306778,0.06785873530867903
GLTSCR1L,0.03002008324395144,0.12067279845040399,0.31649824761395656,-0.007894468608391776,0.06784844508959424
KIAA2013,0.029944923312743597,0.12160594556412144,0.31810935355789716,-0.007969691432290532,0.06777356345384204
IL32,0.029745189154638398,0.12411315085997837,0.32379519599357265,-0.008169590639584973,0.06757456678228074
DHX57,0.029531311932729388,0.1268423821794566,0.32914580723305514,-0.008383641237987616,0.06736147593083681
ABTB1,0.029314800351887327,0.12965254577298943,0.3359887734918191,-0.008600324791834089,0.06714575689100147
MARVELD1,0.029273171524321618,0.13019835283787654,0.33695333714442444,-0.008641986276652499,0.06710428004043377
RP11-554J4.1,0.02925520959723901,0.13043440619246696,0.33711475688359305,-0.008659962253974494,0.06708638364771638
IKBKE,0.029146980228013007,0.13186377230114685,0.3399038274057451,-0.00876827576406667,0.06697854863975537
