"","Sunitinib_5","Pazopanib_199","Axitinib_1021","Cabozantinib_249","Temsirolimus_1016"
"TCGA-BP-4776-01",23.1490367708515,24.1669219280167,9.83008944313055,18.8536161486071,0.141053093358156
"TCGA-A3-3352-01",18.701017070969,30.4735623844604,9.27650019432825,21.60624071938,0.147473587885487
"TCGA-CJ-6033-01",18.4218052446766,18.7106341041003,8.28035480606961,18.1938547732107,0.086216493856098
"TCGA-AK-3426-01",10.4212128054189,26.1981644773482,6.90262182843155,8.33097814343446,0.0943746288276937
"TCGA-B0-4852-01",15.8300343605131,26.7785733156977,7.01092946878416,18.8237916076183,0.130816298486735
"TCGA-BP-4972-01",8.9799372675095,20.6678156513107,8.02686765219693,16.5104751202374,0.137415144503971
"TCGA-BP-4993-01",12.3009838261311,20.8034093390029,7.24994177853495,14.6620974727221,0.145987900405547
"TCGA-B4-5838-01",18.0940456694115,32.1023405193972,8.02223790844654,20.2039404349866,0.101390339963
"TCGA-CJ-4885-01",19.0177535333452,20.1896719843016,10.797763688782,23.794697330804,0.13127854831215
"TCGA-B0-4696-01",6.94130315389429,7.94602309550725,2.90212190294853,18.0401485331985,0.189624521213542
"TCGA-B0-4710-01",14.1975710091591,28.4847135035199,5.93864439849971,16.38818338646,0.184325611353047
"TCGA-BP-4789-01",12.4569473859524,18.0081486460279,5.72435647530056,15.3036794291707,0.146072900155786
"TCGA-CJ-4903-01",13.5559416309786,27.5112836608018,6.7671273603129,15.8296765849106,0.100867108791696
"TCGA-BP-4343-01",14.7722359153225,20.6383461101824,7.43863451411378,21.5482021381053,0.0632337276331295
"TCGA-A3-3383-01",24.7917994859837,27.8062059953151,13.8426883573781,21.4164379769585,0.140798493127431
"TCGA-B0-5113-01",10.2669944313509,19.6752059926521,5.55024322397924,10.9990243924167,0.136513612359988
"TCGA-B0-4718-01",18.2396512119003,26.4624843150773,7.27858111096975,15.6689186690482,0.133948127594101
"TCGA-B8-4154-01",22.5007122690408,23.9241891156408,11.653245998666,24.542221246651,0.072773607856025
"TCGA-B0-5110-01",9.89136094267016,18.9961785170157,5.37313680507789,12.2666283443768,0.120277144486303
"TCGA-BP-4968-01",20.3565111442154,29.5166885480857,9.6445519999334,17.5733615193963,0.0899400095785154
